学号,课程成绩
2022210016,50.05
2022210027,85.98
2022210067,67.44
2022211419,86.95
2022213778,75.63
2023210047,89.2
2023210355,81.44
2023210710,92.36
2023210797,92.38
2023210816,80.85
2023210826,87.47
2023210880,84.14
2023210883,78.28
2023210884,86.98
2023210885,89.98
2023210886,88.49
2023210888,88.38
2023210889,74.27
2023210892,86.07
2023210894,90.17
2023210896,87.09
2023210897,78.44
2023210900,85.11
2023210901,78.49
2023210902,83.54
2023210903,76.8
2023210904,77.28
2023210905,88.11
2023210907,76.09
2023210908,71.36
2023210909,76.35
2023210910,82.72
2023210913,85.6
2023210914,93.11
2023210915,72.37
2023210916,86.21
2023210917,76.6
2023210918,69.16
2023210920,87.3
2023210921,86.82
2023210922,86.04
2023210923,84.13
2023210924,70.43
2023210926,65.91
2023210927,83.45
2023210928,73.12
2023210931,74.63
2023210933,79.61
2023210934,83.59
2023210937,76.42
2023210938,82.24
2023210939,80.82
2023210940,77.13
2023210941,83.17
2023210943,76.56
2023210944,83.03
2023210945,91.31
2023210946,70.48
2023210947,79.05
2023210948,81.16
2023210949,72.57
2023210950,84.72
2023210952,91.22
2023210954,78.56
2023210955,93.0
2023210956,86.74
2023210957,80.83
2023210958,88.24
2023210960,83.35
2023210962,79.36
2023210963,84.47
2023210964,81.82
2023210965,82.71
2023210966,67.98
2023210969,70.61
2023210971,84.78
2023210973,76.99
2023210974,75.31
2023210975,81.22
2023210978,78.19
2023210979,86.91
2023210980,83.64
2023210981,80.13
2023210982,76.74
2023210983,90.26
2023210984,87.1
2023210985,88.05
2023210986,88.0
2023210989,66.36
2023210990,88.96
2023210991,80.59
2023210992,88.34
2023210993,76.61
2023210994,86.37
2023210995,57.7
2023210998,83.38
2023210999,84.55
2023211000,88.1
2023211002,70.18
2023211003,89.89
2023211004,87.26
2023211005,82.94
2023211007,90.2
2023211009,80.84
2023211010,79.12
2023211011,89.03
2023211013,64.36
2023211014,87.43
2023211016,84.92
2023211018,69.34
2023211019,53.8
2023211020,86.22
2023211022,71.85
2023211027,76.35
2023211028,73.06
2023211030,69.52
2023211031,75.55
2023211032,75.4
2023211035,82.78
2023211036,86.54
2023211037,74.68
2023211038,88.18
2023211039,83.68
2023211040,88.17
2023211041,88.4
2023211044,78.83
2023211045,89.22
2023211047,88.44
2023211049,84.82
2023211050,85.92
2023211051,79.12
2023211053,87.07
2023211054,81.11
2023211055,87.32
2023211056,72.69
2023211057,88.13
2023211058,84.21
2023211059,70.84
2023211060,85.81
2023211061,76.98
2023211062,84.64
2023211063,85.37
2023211064,82.75
2023211067,83.64
2023211068,72.56
2023211071,83.77
2023211072,78.49
2023211073,81.04
2023211074,84.38
2023211076,88.42
2023211079,79.19
2023211080,72.01
2023211081,85.62
2023211082,82.16
2023211083,70.77
2023211084,65.3
2023211085,74.51
2023211086,73.54
2023211087,77.44
2023211088,90.88
2023211089,84.89
2023211090,81.3
2023211092,78.68
2023211093,89.61
2023211094,85.15
2023211095,80.48
2023211096,74.53
2023211097,82.6
2023211098,85.98
2023211099,79.53
2023211100,86.14
2023211102,92.28
2023211103,91.47
2023211104,85.92
2023211106,80.43
2023211107,83.17
2023211108,88.34
2023211109,81.22
2023211111,88.04
2023211112,81.43
2023211113,76.41
2023211114,82.1
2023211116,86.73
2023211118,84.7
2023211119,76.5
2023211123,81.39
2023211126,88.19
2023211127,88.84
2023211128,79.81
2023211129,91.33
2023211130,84.58
2023211131,76.95
2023211133,67.32
2023211135,72.03
2023211136,82.16
2023211137,71.5
2023211138,79.47
2023211140,80.46
2023211141,47.43
2023211143,70.78
2023211144,83.89
2023211145,74.19
2023211146,63.5
2023211147,74.27
2023211148,80.04
2023211150,86.07
2023211152,73.84
2023211156,88.78
2023211157,93.17
2023211158,80.12
2023211159,81.78
2023211160,76.92
2023211161,90.77
2023211162,70.6
2023211163,83.26
2023211164,92.36
2023211166,89.77
2023211167,68.99
2023211168,85.33
2023211173,91.41
2023211174,76.57
2023211175,73.77
2023211176,79.27
2023211177,88.78
2023211178,75.57
2023211179,82.46
2023211180,88.31
2023211182,59.75
2023211183,74.18
2023211184,82.21
2023211185,67.87
2023211186,74.2
2023211187,78.62
2023211188,89.04
2023211189,77.27
2023211190,89.53
2023211191,81.68
2023211193,77.2
2023211194,79.69
2023211196,91.53
2023211197,82.33
2023211198,84.94
2023211199,85.09
2023211201,88.08
2023211202,79.94
2023211203,84.27
2023211205,80.08
2023211207,74.97
2023211208,70.77
2023211209,87.02
2023211211,78.81
2023211212,86.32
2023211214,85.1
2023211215,80.81
2023211216,81.95
2023211217,75.35
2023211218,88.62
2023211219,84.8
2023211220,73.14
2023211221,85.58
2023211222,83.12
2023211223,84.14
2023211225,86.02
2023211226,82.24
2023211227,86.12
2023211231,87.83
2023211232,83.21
2023211233,94.32
2023211234,85.37
2023211235,90.47
2023211236,90.42
2023211237,81.45
2023211238,82.87
2023211239,89.63
2023211240,68.88
2023211241,83.6
2023211243,85.76
2023211245,78.21
2023211247,85.51
2023211249,83.81
2023211250,82.47
2023211251,76.13
2023211252,92.91
2023211254,83.33
2023211255,90.09
2023211256,89.37
2023211257,78.32
2023211258,88.77
2023211259,67.41
2023211260,90.94
2023211261,69.89
2023211262,74.89
2023211264,84.57
2023211267,76.95
2023211269,87.49
2023211270,84.1
2023211271,79.89
2023211272,81.51
2023211273,88.9
2023211274,80.8
2023211275,85.25
2023211276,87.14
2023211277,86.53
2023211280,85.51
2023211281,78.39
2023211282,85.61
2023211283,86.04
2023211284,87.32
2023211288,83.66
2023211289,55.1
2023211290,79.88
2023211291,80.2
2023211293,79.67
2023211294,78.76
2023211295,81.13
2023211296,78.62
2023211298,84.44
2023211299,84.11
2023211300,93.05
2023211301,86.23
2023211302,82.1
2023211304,88.94
2023211310,90.83
2023211311,76.67
2023211312,76.7
2023211314,88.7
2023211319,83.57
2023211345,87.31
2023211432,77.68
2023211728,89.45
2023211735,88.83
2023211759,94.54
2023211778,83.35
2023211959,88.6
2023211964,91.91
2023212005,86.6
2023212122,91.55
2023212185,75.9
2023212194,81.1
2023212219,85.54
2023212304,87.14
2023212334,89.67
2023212337,86.26
2023212342,81.08
2023212350,90.8
2023212351,83.27
2023212446,83.14
2023212460,86.94
2023212516,87.63
2023212539,92.32
2023212549,79.2
2023212555,77.11
2023212564,45.07
2023212694,66.56
2023212715,70.3
2023212796,79.99
2023212832,88.42
2023212872,86.63
